State,District,Trump (%),Clinton (%),Representative
New York,10,19,78,Jerry Nadler
New York,11,53,44,Dan Donovan
New York,12,13,82,Carolyn Maloney
New York,13,5,92,"Charles B. Rangel, Adriano Espaillat"
New York,14,22,77,Joe Crowley
New York,15,5,94,Jose Serrano
New York,16,22,75,Eliot Engel
New York,17,38,58,Nita Lowey
New York,18,49,47,Sean Patrick Maloney
New York,19,51,44,John Faso
New York,20,40,53,Paul Tonko
New York,21,53,39,Elise Stefanik
New York,22,54,39,"Richard L. Hanna, Claudia Tenney"
New York,23,54,39,Tom Reed
New York,24,45,49,John Katko
New York,25,39,55,Louise Slaughter
New York,26,38,58,Brian Higgins
New York,27,59,35,
North Carolina,1,67,30,G. K. Butterfield
North Carolina,2,42,54,Renee Ellmers
North Carolina,3,36,60,Walter B. Jones
North Carolina,4,68,27,David Price
North Carolina,5,39,57,Virginia Foxx
North Carolina,6,41,56,Mark Walker
North Carolina,7,39,57,David Rouzer
North Carolina,8,41,56,Richard Hudson
North Carolina,9,42,54,Robert Pittenger
North Carolina,10,36,60,Patrick McHenry
North Carolina,11,33,62,Mark Meadows
North Carolina,12,68,28,Alma Adams
North Carolina,13,44,53,Ted Budd
North Dakota,1,27.23,62.96,Kevin Cramer
Ohio,1,45,51,Steve Chabot
Ohio,2,40,56,Brad Wenstrup
Ohio,3,67,28,Joyce Beatty
Ohio,4,31,64,Jim Jordan
Ohio,5,34,59,Bob Latta
Ohio,6,27,69,Bill Johnson
Ohio,7,33,62,Bob Gibbs
Ohio,8,30,65,Warren Davidson
Ohio,9,59,37,Marcy Kaptur
Ohio,10,44,51,Mike Turner
Ohio,11,81,17,Marcia Fudge
Ohio,12,42,53,Pat Tiberi
Ohio,13,51,45,Tim Ryan
Ohio,14,42,53,David Joyce
Ohio,15,40,55,Steve Stivers
Ohio,16,39,56,Jim Renacci
Oklahoma,1,33,61,Jim Bridenstine
Oklahoma,2,23,73,Markwayne Mullin
Oklahoma,3,21,74,Frank Lucas
Oklahoma,4,28,66,Tom Cole
Oklahoma,5,40,53,Steve Russell
Oregon,1,55,33,Suzanne Bonamici
Oregon,2,35,55,Greg Walden
Oregon,3,68,22,Earl Blumenauer
Oregon,4,46.1,46,Peter DeFazio
Oregon,5,46,42,Kurt Schrader
Pennsylvania,1,80,18,Bob Brady
Pennsylvania,2,90,8,Chaka Fattah
Pennsylvania,3,35,61,Mike Kelly
Pennsylvania,4,37,59,Scott Perry
Pennsylvania,5,34,62,Glenn Thompson
Pennsylvania,6,48,48,Ryan Costello
Pennsylvania,7,49,47,Patrick Meehan
Pennsylvania,8,48,48,Mike Fitzpatrick
Pennsylvania,9,27,70,Bill Shuster
Pennsylvania,10,30,66,Tom Marino
Pennsylvania,11,36,60,Lou Barletta
Pennsylvania,12,38,59,Keith Rothfus
Pennsylvania,13,65,32,Brendan Boyle
Pennsylvania,14,66,31,Mike Doyle
Pennsylvania,15,44,52,Charlie Dent
Pennsylvania,16,44,51,Joe Pitts
Pennsylvania,17,43,53,Matt Cartwright
Pennsylvania,18,39,58,Tim Murphy
Rhode Island,1,34.9,60.5,David Cicilline
Rhode Island,2,44.02,51.1,James Langevin
South Carolina,1,41,53,Mark Sanford
South Carolina,2,38,57,Joe Wilson
South Carolina,3,29,67,Jeff Duncan
South Carolina,4,34,60,Trey Gowdy
South Carolina,5,39,57,Mick Mulvaney
South Carolina,6,67,30,Jim Clyburn
South Carolina,7,39,58,Tom Rice
South Dakota,1,31.74,61.53,Kristi Noem
Tennessee,1,20,76,Phil Roe
Tennessee,2,30,65,Jimmy Duncan
Tennessee,3,38,61,Chuck Fleischmann
Tennessee,4,27,68,Scott DesJarlais
Tennessee,5,56,38,Jim Cooper
Tennessee,6,24,72,Diane Black
Tennessee,7,28,67,Marsha Blackburn
Tennessee,8,31,66,Stephen Fincher
Tennessee,9,77,20,Steve Cohen
Texas,1,25,72,Louie Gohmert
Texas,2,43,52,Ted Poe
Texas,3,40,54,Sam Johnson
Texas,4,22,75,John Ratcliffe
Texas,5,34,63,Jeb Hensarling
Texas,6,42,54,Joe Barton
Texas,7,48,47,John Culberson
Texas,8,24,72,Kevin Brady
Texas,9,79,18,Al Green
Texas,10,43,52,Michael McCaul
Texas,11,19,78,Mike Conaway
Texas,12,33,62,Kay Granger
Texas,13,17,80,Mac Thornberry
Texas,14,38,58,Randy Weber
Texas,15,56,40,Rubén Hinojosa
Texas,16,67,27,Beto O'Rourke
Texas,17,38,56,Bill Flores
Texas,18,76,20,Sheila Jackson Lee
Texas,19,23,72,Randy Neugebauer
Texas,20,60,34,Joaquín Castro
Texas,21,42,52,Lamar Smith
Texas,22,44,52,Pete Olson
Texas,23,49,46,Will Hurd
Texas,24,43,51,Kenny Marchant
Texas,25,40,55,Roger Williams
Texas,26,34,60,Michael Burgess
Texas,27,36,60,Blake Farenthold
Texas,28,58,38,Henry Cuellar
Texas,29,71,25,Gene Green
Texas,30,79,18,Eddie Bernice Johnson
Texas,31,40,53,John Carter
Texas,32,48,47,Pete Sessions
Texas,33,73,24,Marc Veasey
Texas,34,59,38,Filemon Vela Jr.
Texas,35,64,30,Lloyd Doggett
Texas,36,25,72,Brian Babin
Utah,1,22.4,49.7,22.3%
Utah,2,32.0,46.0,16.9%
Utah,3,23.3,47.2,24.5%
Utah,4,32.4,39.1,22.5%
Vermont,1,55.72,29.76,Peter Welch
Virginia,1,53,41,Rob Wittman
Virginia,2,48,45,Scott Rigell
Virginia,3,32,63,Robert C. Scott
Virginia,4,37,58,Randy Forbes
Virginia,5,53,42,Robert Hurt
Virginia,6,59,35,Bob Goodlatte
Virginia,7,50,44,Dave Brat
Virginia,8,21,72,Don Beyer
Virginia,9,68,27,Morgan Griffith
Virginia,10,42,52,Barbara Comstock
Virginia,11,27,66,Gerry Connolly
Washington,1,54.13,37.85,Suzan DelBene
Washington,2,56.92,34.82,Rick Larsen
Washington,3,42.52,49.93,Jaime Herrera Beutler
Washington,4,35.06,57.92,Dan Newhouse
Washington,5,39.14,52.17,Cathy McMorris Rodgers
Washington,6,51.83,39.48,Derek Kilmer
Washington,7,82.13,12.18,Jim McDermott
Washington,8,47.72,44.67,Dave Reichert
Washington,9,70.47,23.34,Adam Smith
Washington,10,51.25,39.9,Denny Heck
West Virginia,1,26,68,David McKinley
West Virginia,2,29,66,Alex Mooney
West Virginia,3,23,73,Evan Jenkins
Wisconsin,1,42,52,Paul Ryan
Wisconsin,2,65,29,Mark Pocan
Wisconsin,3,44,49,Ron Kind
Wisconsin,4,73,22,Gwen Moore
Wisconsin,5,37,57,Jim Sensenbrenner
Wisconsin,6,38,55,Glenn Grothman
Wisconsin,7,37,58,Sean Duffy
Wisconsin,8,37,57,Mike Gallagher
Wyoming,1,21.88,68.17,Liz Cheney
Alaska,1,51.28,36.5,
