State,District,Cook_PVI_Numeric,Adjusted_2012_Romney,Adjusted_2016_Trump,2012 Romney (Standardized),2016 Trump (Standardized)
California,3,-1,0.46703424745286587,0.4477547206369943,0.44250513347022585,0.43010752688172044
California,4,10,0.6186769579251451,0.593734150277013,0.5941478439425051,0.5760869565217391
California,5,-18,0.3071557092893506,0.2757117098843061,0.2826265953067106,0.25806451612903225
California,6,-13,0.31481858226430703,0.27851675897266515,0.290289468281667,0.2608695652173913
California,7,3,0.5042830863045262,0.4572076333157134,0.4797539723218862,0.43956043956043955
California,8,12,0.5963247764351018,0.5965945621763266,0.5717956624524618,0.5789473684210527
California,9,-2,0.43414430230559603,0.4198211067987521,0.409615188322956,0.40217391304347827
California,10,5,0.5058892123030005,0.5015181614972094,0.48136009832036053,0.4838709677419355
California,11,-17,0.33149632709739413,0.25677762853788255,0.3069672131147541,0.2391304347826087
California,12,-35,0.1539286999039651,0.11238403586053702,0.12939958592132506,0.09473684210526316
California,13,-37,0.1175113882648003,0.09211527886165684,0.09298227428216027,0.07446808510638298
California,14,-23,0.26545354388344783,0.2071208779658002,0.2409244299008078,0.18947368421052632
California,15,-15,0.3292325904652576,0.2757117098843061,0.3047034764826176,0.25806451612903225
California,16,-2,0.4265309524056816,0.4047439679488222,0.4020018384230416,0.3870967741935484
California,17,-18,0.28655845634439236,0.2304131512020824,0.26202934236175235,0.2127659574468085
California,18,-18,0.32228539228646874,0.2327009571961341,0.2977562783038287,0.21505376344086022
California,19,-16,0.29573983959926065,0.24922614112369493,0.27121072561662063,0.23157894736842105
California,20,-19,0.29430661707287487,0.2649590217122631,0.26977750309023485,0.24731182795698925
California,21,3,0.46818103980289677,0.43254081077655043,0.44365192582025675,0.4148936170212766
California,22,12,0.6009781309939469,0.5660342905294674,0.5764490170113069,0.5483870967741935
California,23,18,0.6544963405291373,0.6346684703510186,0.6299672265464973,0.6170212765957447
California,24,-3,0.4680020077178524,0.4089515415813608,0.44347289373521237,0.391304347826087
California,25,6,0.5338102133570631,0.4800127851531233,0.5092810993744231,0.46236559139784944
California,26,-2,0.4719863942445862,0.3980819763639695,0.4474572802619462,0.3804347826086957
California,27,-9,0.38306220146471337,0.31551953418080575,0.35853308748207335,0.2978723404255319
California,28,-19,0.2985894196414587,0.2516897469467632,0.27406030565881867,0.23404255319148937
California,29,-21,0.23494748970044152,0.1965945621763265,0.21041837571780148,0.17894736842105263
California,30,-13,0.3540979024836667,0.29133140428158966,0.32956878850102667,0.2736842105263158
California,31,-2,0.4396620383180183,0.40712087796580015,0.4151329243353783,0.3894736842105263
California,32,-9,0.3570088845449672,0.312384035860537,0.3324797705623272,0.29473684210526313
California,33,-12,0.4021608280629522,0.3018577200710633,0.3776317140803122,0.28421052631578947
California,34,-28,0.17009221877983996,0.1334366674394844,0.14556310479719992,0.11578947368421053
California,35,-10,0.33655688608801065,0.3018577200710633,0.31202777210537064,0.28421052631578947
California,36,3,0.5082358349602367,0.4702787727026423,0.4837067209775967,0.45263157894736844
California,37,-33,0.15465206480231217,0.12181386042194053,0.13012295081967212,0.10416666666666667
California,38,-9,0.3614045610041992,0.30488123630846536,0.3368754470215592,0.2872340425531915
California,39,7,0.5431801104057367,0.47509400226591214,0.5186509964230966,0.4574468085106383
California,40,-25,0.19289646092141555,0.15448929901843178,0.1683673469387755,0.1368421052631579
California,41,-3,0.3956947581544191,0.3687110235425079,0.3711656441717791,0.35106382978723405
California,42,12,0.6017781694304088,0.5814769809893164,0.5772490554477688,0.5638297872340425
California,43,-23,0.22861074663570127,0.1965945621763265,0.20408163265306123,0.17894736842105263
California,44,-29,0.1628810977059361,0.1439629832289581,0.13835198372329605,0.12631578947368421
California,45,8,0.5847663813174733,0.49076547332516635,0.5602372673348333,0.4731182795698925
California,46,-3,0.3953018133062719,0.31551953418080575,0.3707726993236319,0.2978723404255319
California,47,-5,0.40914449859802465,0.35098052708860716,0.38461538461538464,0.3333333333333333
California,48,8,0.5844062890082286,0.5070088958829334,0.5598771750255885,0.48936170212765956
California,49,5,0.5581824691046909,0.47509400226591214,0.5336533551220509,0.4574468085106383
California,50,14,0.6411073091643468,0.5965945621763266,0.6165781951817068,0.5789473684210527
California,51,-11,0.3183592911359693,0.2597524569131686,0.29383017715332926,0.24210526315789474
California,52,-1,0.49159130710866294,0.40062591715952917,0.46706219312602293,0.3829787234042553
