State,District,Cook_PVI_Numeric,Republican_Prob_2012,Republican_Prob_2016
Georgia,12,9,0.9788081165482252,0.936429082157556
Georgia,13,-10,0.002448218990342115,0.020662920697178594
Georgia,14,23,0.9999846626492032,0.9994554975218557
Hawaii,1,-11,0.0014598247260918594,0.014727663679606219
Hawaii,2,-14,0.0003089314049641187,0.005287244930150679
Idaho,1,18,0.9997955597404138,0.9969568562032253
Idaho,2,17,0.9996568485744834,0.9957099643085209
Illinois,1,-28,2.1891784755213126e-07,4.2654615160802155e-05
Illinois,2,-27,3.6750287971766374e-07,6.020607942864153e-05
Illinois,3,-5,0.03168330244275846,0.10571686202800692
Illinois,4,-26,6.169362365404855e-07,8.497898310134641e-05
Illinois,5,-16,0.00010964512910895951,0.00266079092979828
Illinois,6,5,0.8532820728056519,0.7877299526405168
Illinois,7,-37,2.0675903133453006e-09,1.917989569921646e-06
Illinois,8,-6,0.019118331974973705,0.07727837452479874
Illinois,9,-15,0.00018405035793924045,0.0037516078330491775
Illinois,10,-8,0.006868797674662523,0.04034043629381306
Illinois,11,-6,0.019118331974973705,0.07727837452479874
Illinois,12,-2,0.13404410522504243,0.24949792805851903
Illinois,13,-1,0.2062580556572305,0.3193769868679006
Illinois,14,6,0.9070902253241444,0.8396937868652009
Illinois,15,11,0.9923758941399452,0.9670490303906403
Illinois,16,4,0.7760064414856918,0.7244494020391539
Illinois,17,-6,0.019118331974973705,0.07727837452479874
Illinois,18,10,0.9872671089845784,0.9541118109472355
Indiana,1,-9,0.004103069275282102,0.02891988192999098
Indiana,2,7,0.9424944103047977,0.8808607813658753
Indiana,3,13,0.9972812387131679,0.9831852210531473
Indiana,4,13,0.9972812387131679,0.9831852210531473
Indiana,5,11,0.9923758941399452,0.9670490303906403
Indiana,6,12,0.9954443530802614,0.9764289775139728
Indiana,7,-9,0.004103069275282102,0.02891988192999098
Indiana,8,8,0.9649290899200337,0.9125569112723472
Indiana,9,9,0.9788081165482252,0.936429082157556
Iowa,1,-5,0.03168330244275846,0.10571686202800692
Iowa,2,-4,0.05206788089236413,0.14299885661911807
Iowa,3,1,0.42273381572432595,0.4831749609843627
Iowa,4,4,0.7760064414856918,0.7244494020391539
Kansas,1,22,0.9999742530688525,0.9992316050470369
Kansas,2,7,0.9424944103047977,0.8808607813658753
Kansas,3,5,0.8532820728056519,0.7877299526405168
Kansas,4,14,0.9983786787146792,0.9880286421484608
Kentucky,1,14,0.9983786787146792,0.9880286421484608
Kentucky,2,15,0.9990335614988052,0.9914890146477628
Kentucky,3,-3,0.08442413888664353,0.19062607814605936
Kentucky,4,15,0.9990335614988052,0.9914890146477628
Kentucky,5,16,0.9994240771480278,0.9939552709968434
Kentucky,6,7,0.9424944103047977,0.8808607813658753
Louisiana,1,23,0.9999846626492032,0.9994554975218557
Louisiana,2,-22,4.899558940261387e-06,0.00033723273341886695
Louisiana,3,15,0.9990335614988052,0.9914890146477628
Louisiana,4,11,0.9923758941399452,0.9670490303906403
Louisiana,5,14,0.9983786787146792,0.9880286421484608
Louisiana,6,19,0.9998782069009995,0.9978421263952784
Maine,1,-8,0.006868797674662523,0.04034043629381306
Maine,2,-3,0.08442413888664353,0.19062607814605936
Maryland,1,14,0.9983786787146792,0.9880286421484608
Maryland,2,-7,0.011477317033437363,0.05601087149340324
Maryland,3,-7,0.011477317033437363,0.05601087149340324
Maryland,4,-23,2.918624374782235e-06,0.0002389408919178783
Maryland,5,-11,0.0014598247260918594,0.014727663679606219
Maryland,6,-2,0.13404410522504243,0.24949792805851903
Maryland,7,-23,2.918624374782235e-06,0.0002389408919178783
Maryland,8,-10,0.002448218990342115,0.020662920697178594
Massachusetts,1,-13,0.0005185022532277386,0.007446762361515429
Massachusetts,2,-10,0.002448218990342115,0.020662920697178594
Massachusetts,3,-8,0.006868797674662523,0.04034043629381306
Massachusetts,4,-10,0.002448218990342115,0.020662920697178594
Massachusetts,5,-16,0.00010964512910895951,0.00266079092979828
Massachusetts,6,-7,0.011477317033437363,0.05601087149340324
Massachusetts,7,-30,7.768227708470007e-08,2.140973888456326e-05
Massachusetts,8,-9,0.004103069275282102,0.02891988192999098
Massachusetts,9,-8,0.006868797674662523,0.04034043629381306
Michigan,2,7,0.9424944103047977,0.8808607813658753
Michigan,3,5,0.8532820728056519,0.7877299526405168
Michigan,4,4,0.7760064414856918,0.7244494020391539
Michigan,5,-10,0.002448218990342115,0.020662920697178594
Michigan,6,1,0.42273381572432595,0.4831749609843627
Michigan,7,3,0.6735991023685272,0.6506699260896507
Michigan,8,2,0.5514358942496351,0.568891475802566
Michigan,9,-5,0.03168330244275846,0.10571686202800692
Michigan,10,5,0.8532820728056519,0.7877299526405168
Michigan,11,4,0.7760064414856918,0.7244494020391539
Michigan,12,-14,0.0003089314049641187,0.005287244930150679
Michigan,13,-34,9.781453854137675e-09,5.393746831636408e-06
