State,District,Trump (%),Clinton (%),Representative
New Hampshire,1,46.6,48.19,Carol Shea-Porter
New Hampshire,2,48.62,46.22,Ann McLane Kuster
New Jersey,1,60.6,36.1,Donald Norcross
New Jersey,2,46.0,50.6,Frank LoBiondo
New Jersey,3,45.2,51.4,Tom MacArthur
New Jersey,4,41.0,55.8,Chris Smith
New Jersey,5,47.7,48.8,Scott Garrett
New Jersey,6,56.2,40.6,Frank Pallone Jr.
New Jersey,7,48.6,47.5,Leonard Lance
New Jersey,8,75.7,21.5,Albio Sires
New Jersey,9,64.3,33.1,Bill Pascrell
New Jersey,10,85.2,12.8,Donald Payne Jr.
New Jersey,11,47.9,48.8,Rodney Frelinghuysen
New Jersey,12,65.0,31.8,Bonnie Watson Coleman
New Mexico,1,35,52,Michelle Lujan Grisham
New Mexico,2,50,40,Steve Pearce
New Mexico,3,37,52,Ben Ray Luján
New York,1,54,42,Lee Zeldin
New York,2,53,44,Peter T. King
New York,3,45,51,"Steve Israel, Thomas Suozzi"
New York,4,43,53,Kathleen Rice
New York,5,13,85,Gregory Meeks
New York,6,32,65,Grace Meng
New York,7,10,86,Nydia Velázquez
New York,8,13,84,Hakeem Jeffries
New York,9,14,83,Yvette Clarke
New York,10,19,78,Jerry Nadler
New York,11,53,44,Dan Donovan
New York,12,13,82,Carolyn Maloney
New York,13,5,92,"Charles B. Rangel, Adriano Espaillat"
New York,14,22,77,Joe Crowley
New York,15,5,94,Jose Serrano
New York,16,22,75,Eliot Engel
New York,17,38,58,Nita Lowey
New York,18,49,47,Sean Patrick Maloney
New York,19,51,44,John Faso
New York,20,40,53,Paul Tonko
New York,21,53,39,Elise Stefanik
New York,22,54,39,"Richard L. Hanna, Claudia Tenney"
New York,23,54,39,Tom Reed
New York,24,45,49,John Katko
New York,25,39,55,Louise Slaughter
New York,26,38,58,Brian Higgins
New York,27,59,35,
North Carolina,1,30,67,G. K. Butterfield
North Carolina,2,54,42,Renee Ellmers
North Carolina,3,60,36,Walter B. Jones
North Carolina,4,27,68,David Price
North Carolina,5,57,39,Virginia Foxx
North Carolina,6,56,41,Mark Walker
North Carolina,7,57,39,David Rouzer
North Carolina,8,56,41,Richard Hudson
North Carolina,9,54,42,Robert Pittenger
North Carolina,10,60,36,Patrick McHenry
North Carolina,11,62,33,Mark Meadows
North Carolina,12,28,68,Alma Adams
North Carolina,13,53,44,Ted Budd
North Dakota,1,62.96,27.23,Kevin Cramer
Ohio,1,51,45,Steve Chabot
Ohio,2,56,40,Brad Wenstrup
Ohio,3,28,67,Joyce Beatty
Ohio,4,64,31,Jim Jordan
Ohio,5,59,34,Bob Latta
Ohio,6,69,27,Bill Johnson
Ohio,7,62,33,Bob Gibbs
Ohio,8,65,30,Warren Davidson
Ohio,9,37,59,Marcy Kaptur
Ohio,10,51,44,Mike Turner
Ohio,11,17,81,Marcia Fudge
Ohio,12,53,42,Pat Tiberi
Ohio,13,45,51,Tim Ryan
Ohio,14,53,42,David Joyce
Ohio,15,55,40,Steve Stivers
Ohio,16,56,39,Jim Renacci
Oklahoma,1,61,33,Jim Bridenstine
Oklahoma,2,73,23,Markwayne Mullin
Oklahoma,3,74,21,Frank Lucas
Oklahoma,4,66,28,Tom Cole
Oklahoma,5,53,40,Steve Russell
Oregon,1,33,55,Suzanne Bonamici
Oregon,2,55,35,Greg Walden
Oregon,3,22,68,Earl Blumenauer
Oregon,4,46,46.1,Peter DeFazio
Oregon,5,42,46,Kurt Schrader
Pennsylvania,1,18,80,Bob Brady
Pennsylvania,2,8,90,Chaka Fattah
Pennsylvania,3,61,35,Mike Kelly
Pennsylvania,4,59,37,Scott Perry
Pennsylvania,5,62,34,Glenn Thompson
Pennsylvania,6,48,48,Ryan Costello
Pennsylvania,7,47,49,Patrick Meehan
Pennsylvania,8,48,48,Mike Fitzpatrick
Pennsylvania,9,70,27,Bill Shuster
Pennsylvania,10,66,30,Tom Marino
Pennsylvania,11,60,36,Lou Barletta
Pennsylvania,12,59,38,Keith Rothfus
Pennsylvania,13,32,65,Brendan Boyle
Pennsylvania,14,31,66,Mike Doyle
Pennsylvania,15,52,44,Charlie Dent
Pennsylvania,16,51,44,Joe Pitts
Pennsylvania,17,53,43,Matt Cartwright
Pennsylvania,18,58,39,Tim Murphy
Rhode Island,1,60.5,34.9,David Cicilline
Rhode Island,2,51.1,44.02,James Langevin
South Carolina,1,53,41,Mark Sanford
South Carolina,2,57,38,Joe Wilson
South Carolina,3,67,29,Jeff Duncan
South Carolina,4,60,34,Trey Gowdy
South Carolina,5,57,39,Mick Mulvaney
South Carolina,6,30,67,Jim Clyburn
South Carolina,7,58,39,Tom Rice
South Dakota,1,61.53,31.74,Kristi Noem
Tennessee,1,76,20,Phil Roe
Tennessee,2,65,30,Jimmy Duncan
Tennessee,3,61,38,Chuck Fleischmann
Tennessee,4,68,27,Scott DesJarlais
Tennessee,5,38,56,Jim Cooper
Tennessee,6,72,24,Diane Black
Tennessee,7,67,28,Marsha Blackburn
Tennessee,8,66,31,Stephen Fincher
Tennessee,9,20,77,Steve Cohen
Texas,1,72,25,Louie Gohmert
Texas,2,52,43,Ted Poe
Texas,3,54,40,Sam Johnson
Texas,4,75,22,John Ratcliffe
Texas,5,63,34,Jeb Hensarling
Texas,6,54,42,Joe Barton
Texas,7,47,48,John Culberson
Texas,8,72,24,Kevin Brady
Texas,9,18,79,Al Green
Texas,10,52,43,Michael McCaul
Texas,11,78,19,Mike Conaway
Texas,12,62,33,Kay Granger
Texas,13,80,17,Mac Thornberry
Texas,14,58,38,Randy Weber
Texas,15,40,56,Rubén Hinojosa
Texas,16,27,67,Beto O'Rourke
Texas,17,56,38,Bill Flores
Texas,18,20,76,Sheila Jackson Lee
Texas,19,72,23,Randy Neugebauer
Texas,20,34,60,Joaquín Castro
Texas,21,52,42,Lamar Smith
Texas,22,52,44,Pete Olson
Texas,23,46,49,Will Hurd
Texas,24,51,43,Kenny Marchant
Texas,25,55,40,Roger Williams
Texas,26,60,34,Michael Burgess
Texas,27,60,36,Blake Farenthold
Texas,28,38,58,Henry Cuellar
Texas,29,25,71,Gene Green
Texas,30,18,79,Eddie Bernice Johnson
Texas,31,53,40,John Carter
Texas,32,47,48,Pete Sessions
Texas,33,24,73,Marc Veasey
Texas,34,38,59,Filemon Vela Jr.
Texas,35,30,64,Lloyd Doggett
Texas,36,72,25,Brian Babin
Utah,1,49.7,22.4,22.3%
Utah,2,46.0,32.0,16.9%
Utah,3,47.2,23.3,24.5%
Utah,4,39.1,32.4,22.5%
Vermont,1,29.76,55.72,Peter Welch
