State,District,Cook_PVI_Numeric,Adjusted_2012_Romney,Adjusted_2012_Obama,2016 Trump (Standardized),2016 Clinton (Standardized)
California,44,-29,0.16284656508608056,0.8371534349139195,0.12631578947368421,0.8736842105263158
California,45,8,0.5847318486976177,0.41526815130238226,0.4731182795698925,0.5268817204301075
California,46,-3,0.39526728068641637,0.6047327193135836,0.2978723404255319,0.7021276595744681
California,47,-5,0.4091099659781691,0.5908900340218308,0.3333333333333333,0.6666666666666666
California,48,8,0.584371756388373,0.415628243611627,0.48936170212765956,0.5106382978723404
California,49,5,0.5581479364848354,0.4418520635151646,0.4574468085106383,0.5425531914893617
California,50,14,0.6410727765444912,0.35892722345550876,0.5789473684210527,0.42105263157894735
California,51,-11,0.31832475851611375,0.6816752414838863,0.24210526315789474,0.7578947368421053
California,52,-1,0.4915567744888074,0.5084432255111926,0.3829787234042553,0.6170212765957447
California,53,-7,0.3966827204220892,0.6033172795779108,0.3157894736842105,0.6842105263157895
Colorado,1,-17,0.3191894602342963,0.6808105397657037,0.25,0.75
Colorado,2,-8,0.43001649453121304,0.569983505468787,0.38461538461538464,0.6153846153846154
Colorado,3,4,0.5553954730303052,0.44460452696969477,0.5652173913043478,0.43478260869565216
Colorado,4,12,0.6231437831638488,0.3768562168361512,0.6263736263736264,0.37362637362637363
Colorado,5,15,0.6313514895951804,0.3686485104048196,0.6333333333333333,0.36666666666666664
Colorado,6,1,0.4986940510752054,0.5013059489247946,0.45054945054945056,0.5494505494505495
Colorado,7,-3,0.448326117058727,0.5516738829412731,0.43478260869565216,0.5652173913043478
Connecticut,1,-12,0.3844541364689523,0.6155458635310477,0.37944003343084,0.62055996656916
Connecticut,2,-6,0.45680899184313384,0.5431910081568662,0.4846976596420629,0.515302340357937
Connecticut,3,-9,0.3915319928895792,0.6084680071104208,0.41948888427176395,0.580511115728236
Connecticut,4,-5,0.46873718909313067,0.5312628109068693,0.3803183189430979,0.6196816810569021
Connecticut,5,-2,0.4829122260410524,0.5170877739589477,0.47859231411862996,0.5214076858813701
Florida,1,21,0.7191526145477298,0.28084738545227017,0.7083333333333334,0.2916666666666667
Florida,2,3,0.554120466094837,0.445879533905163,0.6804123711340206,0.31958762886597936
Florida,3,12,0.6457067025749057,0.3542932974250943,0.5833333333333334,0.4166666666666667
Florida,4,19,0.66666678283649,0.33333321716351005,0.6458333333333334,0.3541666666666667
Florida,5,-17,0.30702882793812697,0.692971172061873,0.3711340206185567,0.6288659793814433
Florida,6,6,0.6067347428158623,0.39326525718413774,0.5876288659793815,0.41237113402061853
Florida,7,5,0.5483041051723083,0.4516958948276917,0.4631578947368421,0.5368421052631579
Florida,8,8,0.5981756001620567,0.40182439983794327,0.6041666666666666,0.3958333333333333
Florida,9,-4,0.39978454606273406,0.6002154539372659,0.4329896907216495,0.5670103092783505
Florida,10,7,0.5630027069305649,0.43699729306943513,0.36082474226804123,0.6391752577319587
Florida,11,8,0.6184590545157922,0.3815409454842078,0.6632653061224489,0.336734693877551
Florida,12,6,0.5714027890340728,0.4285972109659272,0.59375,0.40625
Florida,13,1,0.5170530505335854,0.4829469494664146,0.4791666666666667,0.5208333333333334
Florida,14,-11,0.3674902383671275,0.6325097616328725,0.40625,0.59375
Florida,15,8,0.563671610985674,0.436328389014326,0.5520833333333334,0.4479166666666667
Florida,16,5,0.5715083021053188,0.4284916978946812,0.5567010309278351,0.44329896907216493
Florida,17,10,0.6086689858843831,0.3913310141156169,0.6391752577319587,0.36082474226804123
Florida,18,1,0.5454454274546459,0.45455457254535414,0.5463917525773195,0.4536082474226804
Florida,19,11,0.6343979630052966,0.3656020369947034,0.6122448979591837,0.3877551020408163
Florida,20,-28,0.1957675287099703,0.8042324712900297,0.1836734693877551,0.8163265306122449
Florida,21,-12,0.41514314848193984,0.5848568515180601,0.3979591836734694,0.6020408163265306
Florida,22,-5,0.4769162911603879,0.5230837088396121,0.41836734693877553,0.5816326530612245
Florida,23,-10,0.4057823077209333,0.5942176922790667,0.3673469387755102,0.6326530612244898
Florida,24,-33,0.1465730245366234,0.8534269754633765,0.16494845360824742,0.8350515463917526
Florida,25,8,0.5350473451818799,0.4649526548181201,0.5102040816326531,0.4897959183673469
Florida,26,3,0.4905579297790741,0.5094420702209259,0.41836734693877553,0.5816326530612245
Florida,27,5,0.49132875221705585,0.5086712477829441,0.3979591836734694,0.6020408163265306
Georgia,1,9,0.5897119726671323,0.41028802733286773,0.5773195876288659,0.422680412371134
Georgia,2,-4,0.4349573580227442,0.5650426419772558,0.4387755102040816,0.5612244897959183
Georgia,3,19,0.6906554311351668,0.3093445688648332,0.6597938144329897,0.3402061855670103
Georgia,4,-17,0.2825590974918168,0.7174409025081832,0.2268041237113402,0.7731958762886598
Georgia,5,-31,0.1842519119997916,0.8157480880002084,0.12371134020618557,0.8762886597938144
Georgia,6,14,0.6433240979022247,0.35667590209777533,0.5052631578947369,0.49473684210526314
Georgia,7,16,0.6356564281410696,0.3643435718589304,0.53125,0.46875
Georgia,8,15,0.6463289068597071,0.3536710931402929,0.6494845360824743,0.35051546391752575
Georgia,9,27,0.8166681417845201,0.18333185821547993,0.8041237113402062,0.1958762886597938
Georgia,10,13,0.6569368656884225,0.34306313431157753,0.6288659793814433,0.3711340206185567
Georgia,11,19,0.7043726301432723,0.29562736985672766,0.631578947368421,0.3684210526315789
Georgia,12,9,0.5839534951524069,0.4160465048475931,0.5816326530612245,0.41836734693877553
Georgia,13,-10,0.3265810645802021,0.6734189354197979,0.2755102040816326,0.7244897959183674
Georgia,14,23,0.7676678632630992,0.23233213673690079,0.7731958762886598,0.2268041237113402
Hawaii,1,-11,0.31845730421529667,0.6815426957847033,0.32585470085470086,0.6741452991452992
Hawaii,2,-14,0.2964986609140339,0.7035013390859661,0.3252747252747253,0.6747252747252747
Idaho,1,18,0.6929806781701995,0.3070193218298005,0.7149270482603817,0.2850729517396184
Idaho,2,17,0.6843032430231074,0.3156967569768926,0.6465005931198102,0.3534994068801898
Illinois,1,-28,0.2286482258834015,0.7713517741165985,0.2268041237113402,0.7731958762886598
Illinois,2,-27,0.21123246305178986,0.7887675369482101,0.19387755102040816,0.8061224489795918
Illinois,3,-5,0.45903102863808526,0.5409689713619148,0.4148936170212766,0.5851063829787234
Illinois,4,-26,0.19864729675682286,0.8013527032431771,0.13829787234042554,0.8617021276595744
Illinois,5,-16,0.3497169512636126,0.6502830487363874,0.2553191489361702,0.7446808510638298
Illinois,6,5,0.5662078218871215,0.4337921781128785,0.46236559139784944,0.5376344086021505
Illinois,7,-37,0.14357346228390358,0.8564265377160964,0.09375,0.90625
Illinois,8,-6,0.44084767807792735,0.5591523219220726,0.3829787234042553,0.6170212765957447
Illinois,9,-15,0.36318620818138253,0.6368137918186174,0.26595744680851063,0.7340425531914894
Illinois,10,-8,0.44148221566239937,0.5585177843376006,0.34408602150537637,0.6559139784946236
Illinois,11,-6,0.4372510306823051,0.5627489693176949,0.3763440860215054,0.6236559139784946
Illinois,12,-2,0.5162693846732984,0.4837306153267016,0.5789473684210527,0.42105263157894735
Illinois,13,-1,0.526082858850232,0.473917141149768,0.5319148936170213,0.46808510638297873
Illinois,14,6,0.5754195661157832,0.42458043388421685,0.5161290322580645,0.4838709677419355
Illinois,15,11,0.6769435609546212,0.32305643904537884,0.7473684210526316,0.25263157894736843
Illinois,16,4,0.5638582362679446,0.4361417637320554,0.5913978494623656,0.40860215053763443
Illinois,17,-6,0.4382595986708684,0.5617404013291316,0.5,0.5
Illinois,18,10,0.6430954379811813,0.3569045620188187,0.6451612903225806,0.3548387096774194
Indiana,1,-9,0.4037804405634337,0.5962195594365662,0.43157894736842106,0.5684210526315789
Indiana,2,7,0.595545069962133,0.40445493003786703,0.6210526315789474,0.37894736842105264
Indiana,3,13,0.6610988158904717,0.3389011841095283,0.6842105263157895,0.3157894736842105
Indiana,4,13,0.6473078805955211,0.35269211940447887,0.6808510638297872,0.3191489361702128
Indiana,5,11,0.6100342962304016,0.3899657037695984,0.5638297872340425,0.43617021276595747
Indiana,6,12,0.6429573794387234,0.35704262056127656,0.7157894736842105,0.28421052631578947
Indiana,7,-9,0.38429101902181756,0.6157089809781824,0.3829787234042553,0.6170212765957447
Indiana,8,8,0.620228404592015,0.379771595407985,0.6736842105263158,0.3263157894736842
Indiana,9,9,0.608636810850881,0.39136318914911905,0.6421052631578947,0.35789473684210527
Iowa,1,-5,0.4552653703833456,0.5447346296166544,0.5161290322580645,0.4838709677419355
Iowa,2,-4,0.4583151254147536,0.5416848745852464,0.5268817204301075,0.4731182795698925
Iowa,3,1,0.5027422235897392,0.4972577764102608,0.5161290322580645,0.4838709677419355
Iowa,4,4,0.5658403454487188,0.43415965455128125,0.6451612903225806,0.3548387096774194
Kansas,1,22,0.7417035029915956,0.2582964970084044,0.7401986967204358,0.25980130327956413
Kansas,2,7,0.5919431115276929,0.40805688847230714,0.5987124463519313,0.40128755364806873
Kansas,3,5,0.5729145609754247,0.4270854390245753,0.49356223175965663,0.5064377682403434
Kansas,4,14,0.6549961166749646,0.3450038833250354,0.6460613865636402,0.3539386134363597
Kentucky,1,14,0.6986062564896881,0.3013937435103119,0.75,0.25
Kentucky,2,15,0.6673880081635566,0.3326119918364434,0.7083333333333334,0.2916666666666667
Kentucky,3,-3,0.45888004771820917,0.5411199522817909,0.42105263157894735,0.5789473684210527
Kentucky,4,15,0.6698463785321155,0.3301536214678845,0.6914893617021277,0.30851063829787234
Kentucky,5,16,0.7878533599887387,0.21214664001126127,0.8163265306122449,0.1836734693877551
Kentucky,6,7,0.5941148345273415,0.4058851654726585,0.5851063829787234,0.4148936170212766
Louisiana,1,23,0.7495994836245796,0.2504005163754204,0.71875,0.28125
Louisiana,2,-22,0.2557160714793582,0.7442839285206417,0.2268041237113402,0.7731958762886598
Louisiana,3,15,0.69651572817043,0.30348427182957005,0.6979166666666666,0.3020833333333333
Louisiana,4,11,0.6225079606451684,0.37749203935483155,0.6224489795918368,0.37755102040816324
Louisiana,5,14,0.6427796006208425,0.3572203993791575,0.6530612244897959,0.3469387755102041
Louisiana,6,19,0.6987377777749748,0.3012622222250252,0.6770833333333334,0.3229166666666667
Maine,1,-8,0.4134910153923311,0.586508984607669,0.4204704113414241,0.5795295886585758
Maine,2,-3,0.4805159541535778,0.5194840458464223,0.5557844519136941,0.44421554808630603
Maryland,1,14,0.6430512823937123,0.35694871760628766,0.631578947368421,0.3684210526315789
Maryland,2,-7,0.37501004528031023,0.6249899547196898,0.3894736842105263,0.6105263157894737
Maryland,3,-7,0.4059378803318566,0.5940621196681434,0.3368421052631579,0.6631578947368421
Maryland,4,-23,0.22857621401584574,0.7714237859841543,0.20618556701030927,0.7938144329896907
Maryland,5,-11,0.3510251936076824,0.6489748063923175,0.3229166666666667,0.6770833333333334
Maryland,6,-2,0.457484272084434,0.542515727915566,0.42105263157894735,0.5789473684210527
Maryland,7,-23,0.24898437728115186,0.7510156227188481,0.22916666666666666,0.7708333333333334
Maryland,8,-10,0.3956286019813412,0.6043713980186588,0.3263157894736842,0.6736842105263158
Massachusetts,1,-13,0.3733696704394413,0.6266303295605586,0.3895410885805763,0.6104589114194237
Massachusetts,2,-10,0.42478064593164433,0.5752193540683557,0.3956989247311828,0.6043010752688173
Massachusetts,3,-8,0.44567033400721084,0.5543296659927892,0.3782051282051282,0.6217948717948719
Massachusetts,4,-10,0.4435547660780996,0.5564452339219004,0.3716832944173212,0.6283167055826788
Massachusetts,5,-16,0.3614555252195787,0.6385444747804213,0.27052631578947367,0.7294736842105263
Massachusetts,6,-7,0.46949103274674475,0.5305089672532552,0.4050901378579003,0.5949098621420996
Massachusetts,7,-30,0.1839237352873513,0.8160762647126487,0.12395833333333334,0.8760416666666666
Massachusetts,8,-9,0.43866876771582114,0.5613312322841788,0.3628691983122363,0.6371308016877637
Massachusetts,9,-8,0.46166523397729603,0.538334766022704,0.44326617179215266,0.5567338282078473
Michigan,2,7,0.5901511470193501,0.4098488529806499,0.5913978494623656,0.40860215053763443
Michigan,3,5,0.5598481167163198,0.44015188328368016,0.5531914893617021,0.44680851063829785
Michigan,4,4,0.5644945813627845,0.4355054186372155,0.6276595744680851,0.3723404255319149
Michigan,5,-10,0.4083329652011683,0.5916670347988318,0.47368421052631576,0.5263157894736842
Michigan,6,1,0.5295450864132896,0.47045491358671043,0.5425531914893617,0.4574468085106383
Michigan,7,3,0.5396460965142996,0.4603539034857004,0.5894736842105263,0.4105263157894737
Michigan,8,2,0.5396460965142996,0.4603539034857004,0.5368421052631579,0.4631578947368421
Michigan,9,-5,0.44873700560520874,0.5512629943947913,0.4631578947368421,0.5368421052631579
Michigan,10,5,0.5800501369183401,0.41994986308165994,0.6666666666666666,0.3333333333333333
Michigan,11,4,0.5497471066153098,0.4502528933846902,0.5212765957446809,0.4787234042553192
Michigan,12,-14,0.3578279146961178,0.6421720853038821,0.35789473684210527,0.6421052631578947
Michigan,13,-34,0.16590872277692592,0.8340912772230741,0.18556701030927836,0.8144329896907216
Michigan,14,-27,0.20631276318096634,0.7936872368190336,0.18556701030927836,0.8144329896907216
Minnesota,1,1,0.5175906230933767,0.48240937690662333,0.5824175824175825,0.4175824175824176
Minnesota,2,2,0.5241887086058514,0.47581129139414857,0.5054945054945055,0.4945054945054945
Minnesota,3,2,0.5204295407123779,0.4795704592876221,0.45054945054945056,0.5494505494505495
Minnesota,4,-11,0.3868134219424947,0.6131865780575053,0.32967032967032966,0.6703296703296703
Minnesota,5,-22,0.27064842751663065,0.7293515724833693,0.1978021978021978,0.8021978021978022
Minnesota,6,8,0.6007467490665487,0.3992532509334513,0.6413043478260869,0.358695652173913
Minnesota,7,5,0.5741884589138049,0.4258115410861951,0.6630434782608695,0.33695652173913043
Minnesota,8,-3,0.4965125552189936,0.5034874447810064,0.5869565217391305,0.41304347826086957
Mississippi,1,14,0.6502657960891929,0.3497342039108071,0.6701030927835051,0.32989690721649484
Mississippi,2,-10,0.356486533073046,0.643513466926954,0.35353535353535354,0.6464646464646465
Mississippi,3,15,0.6299436227351357,0.3700563772648643,0.6224489795918368,0.37755102040816324
Mississippi,4,20,0.708428211472052,0.29157178852794796,0.711340206185567,0.28865979381443296
Missouri,1,-27,0.2158482312564769,0.7841517687435231,0.19791666666666666,0.8020833333333334
Missouri,2,7,0.6041253381085747,0.3958746618914253,0.5578947368421052,0.4421052631578947
Missouri,3,9,0.6571476425872743,0.3428523574127257,0.7052631578947368,0.29473684210526313
Missouri,4,11,0.6516323181779407,0.34836768182205935,0.6914893617021277,0.30851063829787234
