State,District,Cook_PVI_Numeric,Adjusted_2012_Romney,Adjusted_2016_Trump,2012 Romney (%),2016 Trump (%)
Michigan,14,-27,18.0,18.0,18.0,18.0
Minnesota,1,1,48.21,53.0,48.21,53.0
Minnesota,2,2,49.01,46.0,49.01,46.0
Minnesota,3,2,48.8,41.0,48.8,41.0
Minnesota,4,-11,35.5,30.0,35.5,30.0
Minnesota,5,-22,24.0,18.0,24.0,18.0
Minnesota,6,8,56.49,59.0,56.49,59.0
Minnesota,7,5,53.87,61.0,53.87,61.0
Minnesota,8,-3,46.22,54.0,46.22,54.0
Mississippi,1,14,61.87,65.0,61.87,65.0
Mississippi,2,-10,33.0,35.0,33.0,35.0
Mississippi,3,15,60.0,61.0,60.0,61.0
Mississippi,4,20,67.6,69.0,67.6,69.0
Missouri,1,-27,18.9,19.0,18.9,19.0
Missouri,2,7,57.14,53.0,57.14,53.0
Missouri,3,9,62.0,67.0,62.0,67.0
Missouri,4,11,61.24,65.0,61.24,65.0
Missouri,5,-10,39.36,40.0,39.36,40.0
Missouri,6,9,60.0,63.0,60.0,63.0
Missouri,7,17,67.56,70.0,67.56,70.0
Missouri,8,13,65.88,75.0,65.88,75.0
Nevada,1,-11,32.4,32.63,32.4,32.63
Nevada,2,5,52.88,52.03,52.88,52.03
Nevada,3,0,48.73,47.55,48.73,47.55
Nevada,4,-2,43.71,44.55,43.71,44.55
New Hampshire,1,0,48.6,48.19,48.6,48.19
New Hampshire,2,-3,44.51,46.22,44.51,46.22
New Jersey,1,-12,34.0,36.1,34.0,36.1
New Jersey,2,0,45.0,50.6,45.0,50.6
New Jersey,3,2,47.0,51.4,47.0,51.4
New Jersey,4,7,54.0,55.8,54.0,55.8
New Jersey,6,-6,37.0,40.6,37.0,40.6
New Jersey,7,6,53.0,47.5,53.0,47.5
New Jersey,8,-20,21.0,21.5,21.0,21.5
New Jersey,9,-11,31.0,33.1,31.0,33.1
New Jersey,10,-31,12.0,12.8,12.0,12.8
New Jersey,11,5,52.0,48.8,52.0,48.8
New Jersey,12,-12,32.0,31.8,32.0,31.8
New Mexico,1,-5,39.6,35.0,39.6,35.0
New Mexico,2,6,51.72,50.0,51.72,50.0
New Mexico,3,-7,38.67,37.0,38.67,37.0
New York,1,0,49.08,54.0,49.08,54.0
New York,2,1,47.23,53.0,47.23,53.0
New York,3,-3,48.21,45.0,48.21,45.0
New York,4,-4,42.76,43.0,42.76,43.0
New York,5,-33,9.1,13.0,9.1,13.0
New York,6,-12,31.05,32.0,31.05,32.0
New York,7,-31,10.34,10.0,10.34,10.0
New York,8,-33,10.14,13.0,10.14,13.0
New York,9,-31,13.84,14.0,13.84,14.0
New York,10,-24,25.0,19.0,25.0,19.0
New York,11,4,47.32,53.0,47.32,53.0
New York,12,-28,21.51,13.0,21.51,13.0
New York,13,-41,4.56,5.0,4.56,5.0
New York,14,-23,18.27,22.0,18.27,22.0
New York,15,-41,3.0,5.0,3.0,5.0
New York,16,-19,25.53,22.0,25.53,22.0
New York,17,-5,41.84,38.0,41.84,38.0
New York,18,2,47.15,49.0,47.15,49.0
New York,19,0,45.85,51.0,45.85,51.0
New York,20,-7,38.8,40.0,38.8,40.0
New York,21,2,46.07,53.0,46.07,53.0
New York,22,3,49.24,54.0,49.24,54.0
New York,23,3,49.59,54.0,49.59,54.0
New York,24,-3,41.1,45.0,41.1,45.0
New York,25,-5,39.41,39.0,39.41,39.0
New York,26,-13,34.31,38.0,34.31,38.0
New York,27,7,55.29,59.0,55.29,59.0
North Carolina,1,-17,27.88,30.0,27.88,30.0
North Carolina,2,11,57.26,54.0,57.26,54.0
North Carolina,3,10,57.99,60.0,57.99,60.0
North Carolina,4,-17,27.41,27.0,27.41,27.0
North Carolina,5,12,59.06,57.0,59.06,57.0
North Carolina,6,11,57.65,56.0,57.65,56.0
North Carolina,7,11,59.24,57.0,59.24,57.0
North Carolina,8,12,58.06,56.0,58.06,56.0
North Carolina,9,10,56.19,54.0,56.19,54.0
North Carolina,10,11,58.0,60.0,58.0,60.0
North Carolina,11,12,60.9,62.0,60.9,62.0
North Carolina,12,-23,20.79,28.0,20.79,28.0
North Carolina,13,9,55.45,53.0,55.45,53.0
Ohio,1,6,52.4,51.0,52.4,51.0
Ohio,2,9,54.75,56.0,54.75,56.0
Ohio,3,-14,28.9,28.0,28.9,28.0
Ohio,4,9,55.98,64.0,55.98,64.0
Ohio,5,8,53.88,59.0,53.88,59.0
Ohio,6,5,55.2,69.0,55.2,69.0
Ohio,7,5,53.71,62.0,53.71,62.0
Ohio,8,14,61.9,65.0,61.9,65.0
Ohio,9,-15,30.87,37.0,30.87,37.0
Ohio,10,2,50.14,51.0,50.14,51.0
Ohio,11,-30,16.55,17.0,16.55,17.0
Ohio,12,8,54.37,53.0,54.37,53.0
Ohio,13,-12,35.42,45.0,35.42,45.0
Ohio,14,3,50.89,53.0,50.89,53.0
Ohio,15,6,51.86,55.0,51.86,55.0
Ohio,16,5,53.35,56.0,53.35,56.0
Oklahoma,1,16,65.8,61.0,65.8,61.0
Oklahoma,2,14,67.8,73.0,67.8,73.0
Oklahoma,3,24,73.9,74.0,73.9,74.0
Oklahoma,4,18,67.1,66.0,67.1,66.0
Oklahoma,5,13,59.22,53.0,59.22,53.0
Oregon,1,-6,40.01,33.0,40.01,33.0
Oregon,2,10,56.83,55.0,56.83,55.0
Oregon,3,-21,24.68,22.0,24.68,22.0
Oregon,4,-2,44.98,46.0,44.98,46.0
Oregon,5,0,47.11,42.0,47.11,42.0
Pennsylvania,1,-25,16.89,18.0,16.89,18.0
Pennsylvania,2,-39,8.95,8.0,8.95,8.0
Pennsylvania,3,5,55.6,61.0,55.6,61.0
Pennsylvania,4,9,57.07,59.0,57.07,59.0
Pennsylvania,5,6,56.95,62.0,56.95,62.0
Pennsylvania,6,1,50.57,48.0,50.57,48.0
Pennsylvania,7,0,50.36,47.0,50.36,47.0
Pennsylvania,8,-1,49.42,48.0,49.42,48.0
Pennsylvania,9,10,62.82,70.0,62.82,70.0
Pennsylvania,10,12,60.11,66.0,60.11,66.0
Pennsylvania,11,6,53.9,60.0,53.9,60.0
Pennsylvania,12,6,57.81,59.0,57.81,59.0
Pennsylvania,13,-12,32.91,32.0,32.91,32.0
Pennsylvania,14,-16,30.64,31.0,30.64,31.0
Pennsylvania,15,2,50.78,52.0,50.78,52.0
Pennsylvania,16,6,52.35,51.0,52.35,51.0
Pennsylvania,17,-4,43.26,53.0,43.26,53.0
Pennsylvania,18,6,57.95,58.0,57.95,58.0
Rhode Island,1,-14,32.18,34.9,32.18,34.9
Rhode Island,2,-8,38.29,44.02,38.29,44.02
South Carolina,1,11,58.25,53.0,58.25,53.0
South Carolina,2,15,59.14,57.0,59.14,57.0
South Carolina,3,16,64.55,67.0,64.55,67.0
South Carolina,4,15,62.17,60.0,62.17,60.0
South Carolina,5,9,55.1,57.0,55.1,57.0
South Carolina,6,-18,28.1,30.0,28.1,30.0
South Carolina,7,7,54.55,58.0,54.55,58.0
Tennessee,1,21,67.3,76.0,67.3,76.0
Tennessee,2,16,63.3,65.0,63.3,65.0
Tennessee,3,12,65.3,61.0,65.3,61.0
Tennessee,4,13,42.5,68.0,42.5,68.0
Tennessee,5,-5,69.1,38.0,69.1,38.0
Tennessee,6,15,65.7,72.0,65.7,72.0
Tennessee,7,13,66.1,67.0,66.1,67.0
Tennessee,8,15,20.9,66.0,20.9,66.0
Texas,1,21,71.5,72.0,71.5,72.0
Texas,2,16,63.95,52.0,63.95,52.0
Texas,3,18,64.32,54.0,64.32,54.0
Texas,4,21,74.0,75.0,74.0,75.0
Texas,5,15,64.5,63.0,64.5,63.0
Texas,6,13,57.9,54.0,57.9,54.0
Texas,7,14,59.9,47.0,59.9,47.0
Texas,8,26,77.0,72.0,77.0,72.0
Texas,9,-21,21.0,18.0,21.0,18.0
Texas,10,11,59.12,52.0,59.12,52.0
