State,District,Trump (%),Clinton (%),Representative
Montana,1,56.17,35.25,Ryan Zinke
Nebraska,1,56,35,Jeff Fortenberry
Nebraska,2,47,45,Brad Ashford
Nebraska,3,74,20,Adrian Smith
Nevada,1,33,62,Dina Titus
Nevada,2,52,40,Mark Amodei
Nevada,3,48,47,Joe Heck
Nevada,4,45,49,Cresent Hardy
New Hampshire,1,47,46,Carol Shea-Porter
New Hampshire,2,45,48,Ann McLane Kuster
New Jersey,1,36.1,60.6,Donald Norcross
New Jersey,2,50.6,46.0,Frank LoBiondo
New Jersey,3,51.4,45.2,Tom MacArthur
New Jersey,4,55.8,41.0,Chris Smith
New Jersey,5,48.8,47.7,Scott Garrett
New Jersey,6,40.6,56.2,Frank Pallone Jr.
New Jersey,7,47.5,48.6,Leonard Lance
New Jersey,8,21.5,75.7,Albio Sires
New Jersey,9,33.1,64.3,Bill Pascrell
New Jersey,10,12.8,85.2,Donald Payne Jr.
New Jersey,11,48.8,47.9,Rodney Frelinghuysen
New Jersey,12,31.8,65.0,Bonnie Watson Coleman
New Mexico,1,35,52,Michelle Lujan Grisham
New Mexico,2,50,40,Steve Pearce
New Mexico,3,37,52,Ben Ray Luján
New York,1,12.6,83.3,Margaret Chin
New York,2,9.3,86.6,Rosie Méndez
New York,3,9.0,87.1,Corey Johnson
New York,4,17.5,78.1,Daniel Garodnick
New York,5,15.5,80.1,Ben Kallos
New York,6,9.0,87.2,Helen Rosenthal
New York,7,4.8,91.9,Mark Levine
New York,8,5.0,92.8,Melissa Mark-Viverito
New York,9,2.7,94.6,Inez Dickens
New York,10,7.1,89.8,Ydanis Rodriguez
New York,11,15.1,81.5,Andrew Cohen
New York,12,4.3,94.1,Andy King
New York,13,30.5,66.6,James Vacca
New York,14,5.3,93.0,Fernando Cabrera
New York,15,6.1,92.1,Ritchie Torres
New York,16,3.9,94.8,Vanessa Gibson
New York,17,4.8,93.5,Rafael Salamanca
New York,18,6.6,91.6,Annabel Palma
New York,19,41.9,54.6,Paul Vallone
New York,20,28.1,69.0,Peter Koo
New York,21,10.5,87.3,Julissa Ferreras
New York,22,18.5,77.3,Costa Constantinides
New York,23,26.2,71.0,Barry Grodenchik
New York,24,24.7,72.3,Rory Lancman
New York,25,17.0,80.0,Daniel Dromm
New York,26,14.4,82.1,Jimmy Van Bramer
New York,27,3.7,94.8,Daneek Miller
