State,District,Obama (%),Romney (%),Representative,
Missouri,8,65.88,32,Jo Ann Emerson,
Montana,1,55.35,41.7,Steve Daines,
Nebraska,1,57.43,40.83,Jeff Fortenberry,
Nebraska,2,52.85,45.7,Lee Terry,
Nebraska,3,70.23,27.82,Adrian Smith,
Nevada,1,65.64,32.4,Dina Titus,
Nevada,2,44.82,52.88,Mark Amodei,
Nevada,3,49.53,48.73,Joe Heck,
Nevada,4,54.43,43.71,Steven Horsford,
New Hampshire,1,50.21,48.6,Carol Shea-Porter,
New Hampshire,2,54.16,44.51,Ann McLane Kuster,
New Jersey,1,65,34,Rob Andrews,
New Jersey,2,54,45,Frank LoBiondo,
New Jersey,3,52,47,Jon Runyan,
New Jersey,4,45,54,Chris Smith,
New Jersey,5,5th,49,51%,
New Jersey,6,61,37,Frank Pallone Jr.,
New Jersey,7,46,53,Leonard Lance,
New Jersey,8,78,21,Albio Sires,
New Jersey,9,68,31,Bill Pascrell,
New Jersey,10,88,12,Donald Payne Jr.,
New Jersey,11,47,52,Rodney Frelinghuysen,
New Jersey,12,67,32,Rush Holt Jr.,
New Mexico,1,55.25,39.6,Michelle Lujan Grisham,
New Mexico,2,44.9,51.72,Steve Pearce,
New Mexico,3,57.52,38.67,Ben Ray Luján,
New York,1,49.62,49.08,Tim Bishop,
New York,2,51.65,47.23,Peter T. King,
New York,3,50.76,48.21,Steve Israel,
New York,4,56.31,42.76,Carolyn McCarthy,
New York,5,90.6,9.1,Gregory Meeks,
New York,6,67.8,31.05,Grace Meng,
New York,7,88.35,10.34,Nydia Velázquez,
New York,8,89.26,10.14,Hakeem Jeffries,
New York,9,85.28,13.84,Yvette Clarke,
New York,10,73.64,25,Jerry Nadler,
New York,11,51.6,47.32,Michael Grimm,
New York,12,76.92,21.51,Carolyn Maloney,
New York,13,94.64,4.56,Charles B. Rangel,
New York,14,80.67,18.27,Joe Crowley,
New York,15,96.75,3,Jose Serrano,
New York,16,73.69,25.53,Eliot Engel,
New York,17,57.07,41.84,Nita Lowey,
New York,18,51.43,47.15,Sean Patrick Maloney,
New York,19,52.12,45.85,Chris Gibson,
New York,20,59.2,38.8,Paul Tonko,
New York,21,52.24,46.07,Bill Owens,
New York,22,48.76,49.24,Richard L. Hanna,
New York,23,48.38,49.59,Tom Reed,
New York,24,57,41.1,Dan Maffei,
New York,25,58.77,39.41,Louise Slaughter,
New York,26,63.94,34.31,Brian Higgins,
New York,27,42.89,55.29,Chris Collins,
North Carolina,1,27.88,71.60,G. K. Butterfield,
North Carolina,2,57.26,41.71,Renee Ellmers,
North Carolina,3,57.99,41.01,Walter B. Jones,
North Carolina,4,27.41,71.43,David Price,
North Carolina,5,59.06,39.77,Virginia Foxx,
North Carolina,6,57.65,41.34,Howard Coble,
North Carolina,7,59.24,39.86,Mike McIntyre,
North Carolina,8,58.06,41.00,Larry Kissell,
North Carolina,9,56.19,42.81,Sue Myrick,
North Carolina,10,58.00,40.89,Patrick McHenry,
North Carolina,11,60.90,37.79,Heath Shuler,
North Carolina,12,20.79,78.54,Mel Watt,
North Carolina,13,55.45,43.53,Brad Miller,
North Dakota,1,58.32,38.7,Kevin Cramer,
Ohio,1,52.4,46.26,Steve Chabot,
Ohio,2,54.75,43.66,Brad Wenstrup,
Ohio,3,28.9,69.65,Joyce Beatty,
Ohio,4,55.98,42,Jim Jordan,
Ohio,5,53.88,44.1,Bob Latta,
Ohio,6,55.2,42.67,Bill Johnson,
Ohio,7,53.71,44.23,Bob Gibbs,
Ohio,8,61.9,36.45,John Boehner,
Ohio,9,30.87,67.55,Marcy Kaptur,
Ohio,10,50.14,48.23,Mike Turner,
Ohio,11,16.55,82.74,Marcia Fudge,
Ohio,12,54.37,43.9,Pat Tiberi,
Ohio,13,35.42,62.95,Tim Ryan,
Ohio,14,50.89,47.58,David Joyce,
Ohio,15,51.86,46.34,Steve Stivers,
Ohio,16,53.35,45.19,Jim Renacci,
Oklahoma,1,65.8,34.2,Jim Bridenstine,
Oklahoma,2,67.8,32.2,Markwayne Mullin,
Oklahoma,3,73.9,26.1,Frank Lucas,
Oklahoma,4,67.1,32.9,Tom Cole,
Oklahoma,5,59.22,40.8,James Lankford,
Oregon,1,57.28,40.01,Suzanne Bonamici,
Oregon,2,40.46,56.83,Greg Walden,
Oregon,3,72.03,24.68,Earl Blumenauer,
Oregon,4,51.74,44.98,Peter DeFazio,
Oregon,5,50.49,47.11,Kurt Schrader,
Pennsylvania,1,16.89,82.26,Bob Brady,
Pennsylvania,2,8.95,90.41,Chaka Fattah,
Pennsylvania,3,55.60,43.05,Mike Kelly,
Pennsylvania,4,57.07,41.51,Jason Altmire,
Pennsylvania,5,56.95,41.35,Glenn Thompson,
Pennsylvania,6,50.57,48.12,Jim Gerlach,
