State,District,Cook_PVI_Numeric,Republican_Prob_2012,Republican_Prob_2016
California,18,-18,3.884105675128634e-05,0.00133732372105446
California,19,-16,0.00010947013495628658,0.0026608764821279413
California,20,-19,2.3135570441704853e-05,0.0009478155679051013
California,21,3,0.6736134392975257,0.6506784766166059
California,22,12,0.9954482187433324,0.9764299019497752
California,23,18,0.9997958411746329,0.9969569832160343
California,24,-3,0.08438860135709772,0.19063162011656146
California,25,6,0.9071178423397204,0.8396989648668817
California,26,-2,0.1340008919635905,0.24950470698379365
California,27,-9,0.004099046731127289,0.028920842973336844
California,28,-19,2.3135570441704853e-05,0.0009478155679051013
California,29,-21,8.20826563870798e-06,0.0004759537802315045
California,30,-13,0.0005178109095391292,0.0074470069269608665
California,31,-2,0.1340008919635905,0.24950470698379365
California,32,-9,0.004099046731127289,0.028920842973336844
California,33,-12,0.0008690328686931893,0.010479365179576662
California,34,-28,2.1833901649755524e-07,4.265584529905037e-05
California,35,-10,0.002445601337579674,0.020663607460059952
California,36,3,0.6736134392975257,0.6506784766166059
California,37,-33,1.6369793714917685e-08,7.613484122070785e-06
California,38,-9,0.004099046731127289,0.028920842973336844
California,39,7,0.9425169118321327,0.880864848020504
California,40,-25,1.0331988979733264e-06,0.00011994749370619826
California,41,-3,0.08438860135709772,0.19063162011656146
California,42,12,0.9954482187433324,0.9764299019497752
California,43,-23,2.9121813116823747e-06,0.00023894811972414512
California,44,-29,1.3005101375524483e-07,3.022051690156832e-05
California,45,8,0.9649460995524562,0.9125600260141672
California,46,-3,0.08438860135709772,0.19063162011656146
California,47,-5,0.03166383106662207,0.10572020437404457
California,48,8,0.9649460995524562,0.9125600260141672
California,49,5,0.8533121446172204,0.7877363374689069
California,50,14,0.9983803415614677,0.988029123930648
California,51,-11,0.0014581349075927705,0.014728152033092958
California,52,-1,0.20621142917686522,0.31938491799328894
California,53,-7,0.011468132135143845,0.05601271081983976
Colorado,1,-17,6.520745225477089e-05,0.001886599350606166
Colorado,2,-8,0.006862678760494614,0.04034177205213788
Colorado,3,4,0.7760329858297119,0.7244569679482699
Colorado,4,12,0.9954482187433324,0.9764299019497752
Colorado,5,15,0.9990346377390219,0.9914893607576533
Colorado,6,1,0.4227070194754694,0.483184213485355
Colorado,7,-3,0.08438860135709772,0.19063162011656146
Connecticut,1,-12,0.0008690328686931893,0.010479365179576662
Connecticut,2,-6,0.019104790231585116,0.07728087526565654
Connecticut,3,-9,0.004099046731127289,0.028920842973336844
Connecticut,4,-5,0.03166383106662207,0.10572020437404457
Connecticut,5,-2,0.1340008919635905,0.24950470698379365
Florida,1,21,0.9999568495674475,0.9989157969768148
Florida,2,3,0.6736134392975257,0.6506784766166059
Florida,3,12,0.9954482187433324,0.9764299019497752
Florida,4,19,0.9998783852177809,0.997842217148889
Florida,5,-17,6.520745225477089e-05,0.001886599350606166
Florida,6,6,0.9071178423397204,0.8396989648668817
Florida,7,5,0.8533121446172204,0.7877363374689069
Florida,8,8,0.9649460995524562,0.9125600260141672
Florida,9,-4,0.05204087199819591,0.143003223890295
Florida,10,7,0.9425169118321327,0.880864848020504
Florida,11,8,0.9649460995524562,0.9125600260141672
Florida,12,6,0.9071178423397204,0.8396989648668817
Florida,13,1,0.4227070194754694,0.483184213485355
Florida,14,-11,0.0014581349075927705,0.014728152033092958
Florida,15,8,0.9649460995524562,0.9125600260141672
Florida,16,5,0.8533121446172204,0.7877363374689069
Florida,17,10,0.9872756262519052,0.9541135447176505
Florida,18,1,0.4227070194754694,0.483184213485355
Florida,19,11,0.9923816820367358,0.9670503012636156
Florida,20,-28,2.1833901649755524e-07,4.265584529905037e-05
Florida,21,-12,0.0008690328686931893,0.010479365179576662
Florida,22,-5,0.03166383106662207,0.10572020437404457
Florida,23,-10,0.002445601337579674,0.020663607460059952
Florida,24,-33,1.6369793714917685e-08,7.613484122070785e-06
Florida,25,8,0.9649460995524562,0.9125600260141672
Florida,26,3,0.6736134392975257,0.6506784766166059
Florida,27,5,0.8533121446172204,0.7877363374689069
Georgia,1,9,0.9788203567440139,0.9364314226572514
Georgia,2,-4,0.05204087199819591,0.143003223890295
Georgia,3,19,0.9998783852177809,0.997842217148889
Georgia,4,-17,6.520745225477089e-05,0.001886599350606166
Georgia,5,-31,4.614009517599313e-08,1.5168557959316063e-05
Georgia,6,14,0.9983803415614677,0.988029123930648
Georgia,7,16,0.9994247690655725,0.9939555191259565
Georgia,8,15,0.9990346377390219,0.9914893607576533
